NeTEx Id;GlobalID;MetaID;Name;Steward;Destination Systems;Crossborder;long;lat;Main Mode;epPrio;CheckIn;Checkout;VAORemarks;(ARIA only) Name as found in time tables;(ARIA only) ARIA Name;(ARIA only) ARIA Remarks;(ARIA only) Answers / remarks SBB;ARIA id;Meta stop to bridge systems?;STA Relevant?;STA Id;STA Remarks;ARIA Relevant?;ARIA Id;ARIA Remarks;5T Relevant?;5T  Id;5T Remarks;LUK Relevant?;LUK Id;LUK Remarks;SBB Relevant;SBB Id;DiDok-ID;LUR Id;VAO Id (HAFAS ID);VAO Relevant?;(EU Spirit only) Additional EPs;Main Operator;Country;Remark;TODO;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-1204:;;at:47:1204;Ötztal-Bahnhof;VAO;SBB,VAO;;10,859275;47,238289;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:47:1204;;;470120400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-1212:;;at:47:1212;Landeck-Zams Bahnhof;VAO;SBB,VAO;;10,578282;47,148422;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:47:1212;;;470121200;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-1222:;;at:47:1222;St. Anton a. A. Bahnhof;VAO;SBB,VAO;;10,266989;47,127389;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:47:1222;;;470122200;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-2184:;;at:47:2184;Kufstein Bahnhof;VAO;SBB,VAO;;12,165956;47,582993;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:47:2184;;;470218400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-2263:;;at:47:2263;Matrei am Brenner Bahnhof;VAO;SBB,VAO;;11,452595;47,127138;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:2263;;;470226300;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-2264:;;at:47:2264;Steinach am Brenner Bahnhof;VAO;SBB,VAO;;11,469645;47,089347;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:2264;;;470226400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-2265:;;at:47:2265;St. Jodok am Brenner Bahnhof;VAO;SBB,VAO;;11,499190;47,063298;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:2265;;;470226500;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-2266:;;at:47:2266;Gries am Brenner Bahnhof;VAO;SBB,VAO;;11,485275;47,041142;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:2266;;;470226600;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3873:;;at:47:3873;Lienz Bahnhof;VAO;SBB,VAO;;12,771133;46,828686;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3873;;;470387300;x;;ÖBB;A;Would be steward STA according to list sent by VOA on14.4.21;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3875:;;at:47:3875;Thal Bahnhof;VAO;SBB,VAO;;12,670683;46,784256;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3875;;;470387500;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3876:;;at:47:3876;Mittewald Bahnhof;VAO;SBB,VAO;;12,595054;46,769830;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3876;;;470387600;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3877:;;at:47:3877;Abfaltersbach Bahnhof;VAO;SBB,VAO;;12,511313;46,753338;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3877;;;470387700;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3878:;;at:47:3878;Tassenbach Bahnhof;VAO;SBB,VAO;;12,466002;46,746979;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3878;;;470387800;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3879:;;at:47:3879;Sillian Bahnhof;VAO;SBB,VAO;;12,424931;46,745717;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3879;;;470387900;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3880:;;at:47:3880;Weitlanbrunn Bahnhof;VAO;SBB,VAO;;12,390148;46,743021;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3880;;;470388000;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-3881:;;at:47:3881;Heinfels Bahnhof;VAO;SBB,VAO;;12,444371;46,745896;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:3881;;;470388100;x;;ÖBB;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-61095:;;at:47:61095;Nauders Bergkastelbahn;VAO;SBB,VAO;;10,508384;46,875419;~Bus~;;0;0;;;;Not present in ARIA system;;;;;;;;;;;;;;;;x;at:47:61095;;;476109500;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-61112:;;at:47:61112;Nauders Mühle;VAO;SBB,VAO;;10,501216;46,888068;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:61112;;;476111200;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-61115:;;at:47:61115;Nauders Reschenpass;VAO;SBB,VAO;;10,504872;46,850353;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:61115;;;476111500;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-62378:;;at:47:62378;Obergurgl Festkoglbahn;VAO;SBB,VAO;;11,032578;46,875831;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:62378;;;476237800;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-62522:;;at:47:62522;Tösens, Untere Felder;VAO;SBB,VAO;;10.6115469;47.0212543;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;;;;476252200;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-6256:;;at:47:6256;Pfunds Stuben, Moosgasse;VAO;SBB,VAO;;10.5311567;46.9666794;~Bus~;;0;0;NEU;;;;;;;;;;;;;;;;;;;x;;;;476256000;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-62565:;;at:47:62565;Timmelsjoch Schmugglerdenkmal;VAO;SBB,VAO;;11,071961;46,919326;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:62565;;;476256500;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64660:;85801621;at:47:64660;Landeck, Perjener Brücke;VAO;SBB,VAO;;10.572066;47.146656;~Bus~;;0;0;Steward SBB?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80162;85801621;;476466000;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64661:;85801613;at:47:64661;Landeck, Zentrum;VAO;SBB,VAO;;10.5664605;47.1410776;~Bus~;;0;0;Steward SBB?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80161;85801613;;476466100;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64776:;;at:47:64776;Obergurgl Hotel Mühle;VAO;SBB,VAO;;11,037564;46,884918;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:64776;;;476477600;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64777:;;at:47:64777;Obergurgl Hotel Hochfirst;VAO;SBB,VAO;;11,030701;46,873854;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:64777;;;476477700;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64778:;;at:47:64778;Obergurgl Zentrum;VAO;SBB,VAO;;11,026937;46,870390;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:64778;;;476477800;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64779:;;at:47:64779;Hochgurgl Ort;VAO;SBB,VAO;;11,051497;46,899780;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:64779;;;476477900;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64780:;;at:47:64780;Timmelsjoch Staatsgrenze;VAO;SBB,VAO;;11,095892;46,905182;~Bus~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:47:64780;;;476478000;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64781:;85801605;at:47:64781;Fliess, Jagglshütte;VAO;SBB,VAO;;10.5754975;47.1294484;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80160;85801605;;476478100;x;;;A;;;;;;;;;;;;;;;
